,post_date,post_text
0,2021-05-28 14:00:03,"Даже супергероям нужно кем-то работать. Поразмыслили на эту тему и придумали профессии, которые подошли бы персонажам из Marvel 🦸 
 
Вам остается только выбрать 👇"
1,2021-06-01 08:21:00,"💼 16 июня пройдёт бесплатная экспресс-конференция «Есть ли жизнь после работы? Ищем work-life balance» 
 
Когда вас преисполняет любовь к работе и стремление к целям, часто бывает не до отдыха. А если прибавить к этому синдром самозванца — получится гремучая смесь 🥴 
 
Научитесь любить и беречь себя → http://netolo.gy/gCs"
2,2021-05-31 15:01:00,"Онлайн-обучение — возможность сэкономить время, получив структурированный материал, рассказанный в интересной форме 👩‍💻 
 
Узнайте, как учиться максимально эффективно → http://netolo.gy/gCx"
3,2021-05-31 07:23:00,"📚 15 июня стартует курс «Психология: путь к себе» 
 
Осознанность — не просто модное слово, а важный инструмент помощи себе. В формате вебинаров, групповых и самостоятельных практик начнете учиться понимать свои эмоции, выстраивать отношения с людьми и не бояться пробовать новое. 
 
🙃 Присоединяйтесь → http://netolo.gy/gCj"
4,2021-05-30 12:15:00,"🎁 Запустили страницу с подарками и скидками от наших друзей — Фоксфорда, Ленты, Tui и других компаний.
Если вы хотите порадовать себя или купить что-то для близких, жмите на «Получить промокод» и пользуйтесь бонусами на сайте наших партнёров → http://netolo.gy/gBz"
5,2021-05-30 08:41:00,"Поехать в отпуск? Или сделать ремонт? 🤔

Рассказываем о книгах, которые помогут правильно копить деньги 👇

🔷 «Манифест инвестора», Бернстайн У.

Автор на собственном опыте знает: разбираться в вопросах сбережения денег самому без финансового образования трудно. Поэтому Уильям Бернстайн, независимый инвестор, решил в своей книге рассказать, как планировать свой бюджет, инвестиционный портфель, избежать финансовых ловушек и остаться с прибылью.

🔷 «Деньговодство», Смирнова Н.

Наталья Смирнова — независимый финансовый советник, эксперт по личным финансам на многих федеральных телеканалах. В своей книге она не пишет о том, что кредит — это зло, от которого нужно бежать. Напротив, автор расскажет, как достигать финансовых целей без жесткой экономии и на примерах из жизни реальных людей покажет, как научиться копить на недвижимость, брать кредиты с умом и наращивать капитал.

🔷 «Любить. Считать. Как построить крепкие и здоровые отношения на основе финансовой независимости», Шишкина С.

Нетипичная книга для женщин о том, как обрести финансовую независимость. В отличии от других книг по этой теме, здесь автор расскажет, как построить отношения с деньгами без зависимости от партнёра и как защитить свои права на разных этапах жизни: от момента заключения брака до подготовки к пенсионным накоплениям.

🔷 «Финансовый ежедневник», Герасимов А.

Если не можете точно сказать, сколько потратили в прошлом месяце, эта книга для вас. Автор уверен, что учёт своих денежных средств — привычка, которую нужно тренировать. Для тех, кто не доверяет банковским приложениям или любит писать от руки, Алексей Герасимов подготовил финансовый ежедневник — журнал учета расходов, чтобы лучше использовать свои деньги и накопить на осуществление какой-нибудь мечты. 

🔷 «Жлобология», Марков А.

Алексей Марков — преподаватель курса «Международные фондовые рынки» РЭУ им. Плеханова, в своей книге рассказывает, как даже при маленькой зарплате регулярно откладывать деньги и тратить их с умом. Но это еще не всё: автор детально разбирает психологические причины, по которым не может разбогатеть человек, а заодно приводит набор рабочих кейсов для повышения финансовой грамотности."
6,2021-05-29 14:19:00,Форум по роботизации процессов и событие для эйчаров 👇
7,2021-05-29 09:01:00,"Собрали подборку статей, чтобы вы разобрались в отличии продактов от проджектов 😉 
 
🔸Почему продакт-маркетолога проще вырастить, чем найти → http://netolo.gy/gzY 
 
🔸Продакт-маркетолог: чем занимается, сколько зарабатывает и каким компаниям нужен → http://netolo.gy/gzZ 
 
🔸Кто должен управлять продуктом и почему главное качество продакт-менеджера — харизма → http://netolo.gy/gz0 
 
🔸Кто такой проджект менеджер, чем он занимается и как им стать → http://netolo.gy/gz1 
 
🔸Чем отличается продакт-менеджер от проджект-менеджера → http://netolo.gy/gz2"
8,2021-05-28 08:45:00,"Старт новой карьеры — сложное время, разобраться во всём помогут наши бесплатные занятия 🙃 
 
Узнаете, как сделать первые шаги в аналитике, менеджменте, программировании и таргете: 
 
🔸 2 июня, 17:00 — открытое занятие «Что делает бизнес-аналитик и как им стать» 
На стриме узнаете, какие задачи решает бизнес-аналитика, каким компаниями она нужна и как войти в профессию → http://netolo.gy/gAD 
 
🔸 7 июня стартует курс «Как стать продакт- или проджект-менеджером» 
В течение четырёх дней четыре эксперта-практика будут рассказывать, какие задачи выполняют разные специалисты, какие навыки нужны для продактов и проджектов, как расти в профессии → http://netolo.gy/gAE 
 
🔸 8 июня, 19:00 — открытое занятие «Арт-менеджмент: как управлять проектами в сфере искусства» 
Как устроены процессы в арт‑индустрии, чем занимается арт‑менеджер, как войти в профессию — все ответы узнаете здесь → http://netolo.gy/gAg 
 
🔸 14 июня стартует курс «Как стать программистом» 
Всего три онлайн-лекции и узнаете, чего ожидать от профессии, насколько она подходит именно вам и какое направление выбрать → http://netolo.gy/gAG 
 
🔸 15 июня стартует курс «Профессия таргетолог: как развиваться и куда расти» 
Посмотрите на рынок и тренды, изучите обязанности таргетолога и обсудите траекторию → http://netolo.gy/gAH"
9,2021-05-27 16:01:00,"Многие боятся критики и расстраиваются, когда окружающие негативно отзываются о результатах их работы. 
 
Рассказываем, как научиться не переживать, когда вас критикуют 👇"
10,2021-05-27 07:15:00,"Наша выпускница Елизавета Милованова утверждает, что без любви к работе — никуда 💕 
 
В новом ролике узнаете историю девушки, которая перестала работать на заводе и стала UX/UI-дизайнером → http://netolo.gy/gzH"
11,2021-05-26 14:25:00,"Раньше было лучше, а может и нет 🤔 
 
Какой формат работы вам нравится больше: в офисе или на удалёнке?"
12,2021-05-26 07:41:00,"Доставка продуктов на дом, знакомства в соцсетях, подсчёт шагов в приложении — всё это диджитал 🕸 
 
На бесплатном курсе «Диджитал-старт» изучите основные интернет-профессии и узнаете, чем занимаются маркетологи, дизайнеры и разработчики. В итоге поймёте, какая специальность вам подходит и как сделать первые шаги в ней 
 
Начать учиться можно прямо сейчас → http://netolo.gy/gzA"
13,2021-05-25 14:31:00,"Тренды в рекламе меняются почти каждый день: трудно за всем уследить, даже если вы настоящий профессионал. 
 
Делимся лайфхаками, которые помогут лучше работать в контекстной рекламе, маркетинге и SEO 👇"
14,2021-05-25 08:33:00,"Соцсети — не только место для общения с друзьями, но и платформа для поиска клиентов и продвижения товаров. 
 
Именно этим занимается SMM-менеджер, а вот что ещё входит в его обязанности → http://netolo.gy/gzz"
15,2021-05-24 14:12:00,"События 2020 года кардинально изменили экономику: торговля почти полностью перешла в онлайн 💰 
 
Гугл провёл анализ поисковых запросов и составил пять трендов на рынке → http://netolo.gy/gzy"
16,2021-05-24 08:01:00,"📚 31 мая стартует курс «Python-разработка для начинающих» 
 
За две недели узнаете, какие есть перспективы в профессии разработчика, научитесь кодить и построите карьерный план 🏃‍♀ 
 
Приступить можно с любым уровнем подготовки → http://netolo.gy/gAs"
